id,name,description,ability,base_skill,success_desc,failure_desc,ds_calc,craft_failure_desc,craft_success_desc
1,Acrobatics,"Twisting, diving, cartwheels, balancing, back-handsprings, parkour, and so on.",Agility,,"PS: Barely succeed without calamity. S: Aptly perform. ,Impressively perform. ,Outstandingly perform. ,Impossibly perform.","Barely fail without calamity (if possible) or minor calamity., Unsuccessful. ,Potentially minorly hurt yourselves or others. ,Hurt yourself or others trying to perform. ,Hurt yourself and likely allies.",,,
2,Beastcraft,"Using an understanding of an animal's emotions, intentions, and fears to calmly interact with, persuade, guide, or soothe them.",Charisma,,"PS: Barely succeed, but without understanding emotions/intentions. S: Understand surface emotion and intention, and interact successfully. ,Interact with deeper understanding and control. ,Build strong rapport and influence animal behavior. ,Achieve near-perfect control and empathy with the animal.","Misinterpret animal cues, minor setback., Fail to connect, animal agitated. ,Animal becomes hostile, potential danger. ,Animal attacks or fleas, significant risk. ,Animal uncontrollable, severe threat to self and others.",,,
3,Act,"Portray yourself in a way or manner that is not who you truly are in species, culture, alignment, attitude, etc., using words, mannerisms, and body language.",Charisma,14,"PS: Your portrayal is unconvincing but not immediately suspicious for up to 5 minutes. S: You act convincingly enough to pass as intended for up to 30 minutes. ,You maintain the act even under light scrutiny for up to 1 hour. ,You remain fully convincing even under questioning for up to 6 hours. ,You flawlessly embody the role, fooling even experts for up to 24 hours.","Act is unconvincing, minor suspicion., Act immediately falls apart, exposed. ,Act breaks down under scrutiny. ,Act thoroughly debunked, potential consequences. ,Act disastrously fails, severe repercussions.",,,
4,Alchemy,"Brew potions and concoct various substances using alchemy tools, a distilling set, and assorted ingredients. Identify and analyze alchemically involved liquids, powders, and derivatives. Weapon Application: Apply a brew to a weapon with a basic Action and interaction, triggering its effect on the next hit. Lingering effects persist on the weapon until the effect ends, applying to every hit. Ranged Weapon Use: For ranged weapons, a brew affects one piece of ammunition per 10 energy spent. (Single use enhanced and common items)",Intelligence,13,"PS: You can recognize if a substance if it is familiar. S: When identifying a substance, you can determine whether it is harmful or harmless. ,When identifying, you can broadly discern the effect category (e.g., buff, debuff, healing, poison). ,When identifying, you gain a general idea of how the substance is made or its key ingredients. ,When identifying, you can deduce the exact composition, method of creation, and any potential modifications or improvements.","the substance is unfamiliar, misidentify the substance for something similar. ,Misidentify the substance as mundane/useless. ,Misidentify the substance as something of the opposite effect. ,Destroy the substance and suffer it's negative effects (if any).",,"Each failure reduces the item's potency by 2, damage by 1d4 if any, and duration by 1 minute if any. A critical failure causes the brew to backfire—negative effects impact you, while positive effects deal (1d10 × level) damage.","Each success grants one of the following: +1 Potency (maximum of 25), +1d4 Damage, +1 Minute of Effect (if already a brew that had duration) or +1d2 healing."
5,Analyze,"Determine general observable characteristics, strengths, and weaknesses of a creature through observation, testing, or physical manipulation.","Acuity, Intelligence",,"PS: You gain vague or unreliable insights. S: You recognize basic strengths and weaknesses. ,You identify notable traits and vulnerabilities. ,You discern deeper patterns, behaviors, or hidden weaknesses. ,You fully understand the target, including rare insights or predictive knowledge.","Misinterpret target's traits, minor miscalculation., Fail to gain any useful information., Misjudge key strengths or weaknesses., Significant misunderstanding of target's capabilities., Completely wrong analysis potentially disastrous.",DS: half level of creature +10.,,
6,Appraise,"Determine the value, properties, and other characteristics of an object using observation, touch, testing, or physical manipulation.","Acuity, Intelligence",25,"PS: Your estimate is rough and may be inaccurate. S: You determine a fair value and identify notable properties. ,You recognize subtle details that refine your appraisal. ,You uncover hidden or secret properties of the object. ,You achieve near-perfect appraisal, understanding the object's history, worth, and potential uses.","Value estimate slightly off minor miscalculation., Completely misjudged object's value., Overlook crucial details affecting value., Fail to recognize hidden properties., Grossly inaccurate appraisal potentially swindled.",,,
7,Arcana,"Understand the fundamentals of power and things of an arcane nature, and in some cases manipulate them using memory, resources, known powers, scrolls, books, foci, etc.",Intelligence,,"PS: Gain a vague or incomplete understanding of the arcane subject. S: Obtain a general but accurate grasp of the subject. ,Identify key additional details or practical applications. ,Gain a deep and precise understanding of the arcane subject. ,Comprehend the subject with expert-level clarity, potentially unlocking new insights or techniques."," Unable to discern the nature of the subject. ,Gain an incorrect general knowledge. ,Inaccurately understand the topic with perceived heightened clarity. ,Gain confidence in the exact nature of the power or arcane subject incorrectly.",,,
8,Artistry,"Painting, sculpting, pottery making with paints, potting clay/wheels, mud, etc. Material cost for art is 10% that of normal crafting material costs, however difficulty score is +8 the original and art is much harder to sell. (Creating items with low cost to create but high difficulty score and potential worth.)",Agility,13,"PS: The work is crude or lacks coherence. S: The work is competent but unremarkable. ,The piece is skillfully made and aesthetically pleasing. ,The work is masterful and evocative, admired by most. ,The piece is a breathtaking masterpiece, inspiring awe and admiration.","Work flawed, minor aesthetic issues., Work completely falls apart, unusable. ,Noticeable imperfections in the piece. ,Significant flaws detract from the work. ,Disastrous creation, materials wasted.",,On Critical: ,On Critical: Any power placed on this item has one of its Charm or Illusion parts increase by a level.
9,Athletics,"Performing physically demanding feats such as pulling or pushing, heaving, lifting, crushing, and so on.",Strength,,"PS: You barely manage, struggling to complete the task. S: You perform the task as expected with no extra difficulty. ,You execute the action with notable strength or efficiency. ,You display exceptional physical prowess, exceeding normal limits. ,You achieve a near-superhuman feat, astounding onlookers.","Physical exertion strains you, minor setback., Fail the physical task. ,Minor injury or stumble during the attempt. ,Significant physical strain or near-failure. ,Severe injury or complete failure, potentially incapacitating.",,,
10,Botany,"The raising and harvesting of domestic plant life for food, ingredients, defenses, or other uses.",Intelligence,32,,,,,
11,Charm,"Gaining the confidence, trust, favor, and/or desire of an individual through some form of performance such as singing, dancing, poetry, flirtation, conversation, etc.",Charisma,35,"PS: The target is mildly entertained but not swayed. S: The target is receptive and engaged. ,The target is charmed and more favorably inclined toward you. ,The target is highly influenced and willing to do small favors. ,The target is fully enthralled, trusting, and deeply favoring you.","Target unimpressed, minor social awkwardness., Target actively dislikes you. ,Target offended or slightly hostile. ,Target strongly dislikes you, potential repercussions. ,Target deeply dislikes you, severe social consequences.",,,
12,Cook,"Prepare food dishes of various compositions with intended flavor profiles and potential health benefits with cooking utensils and sometimes heat. (Single use items that expire within 5 days of crafting, currency and time cost of crafting reduced by 50% but can only be used to make powers with Healing, Overhealing, or Energy restoring or increase parts. Items must be consumed with an interaction to gain benefits from.)","Intelligence, Acuity",13,"Crafting: Each degree of success grants the creature who consumes the item Overheal or Overenergy equal to Archetype Proficiency. PS: The meal is edible but unremarkable. S: The dish is well-prepared and tasty. ,The dish is flavorful and nutritious. ,The dish is gourmet-level with enhanced effects. ,The meal is a masterpiece, potentially granting temporary beneficial effects.","Meal slightly burnt or undercooked, minor flavor issues., Meal completely ruined, inedible. ,Noticeable flaws in taste or texture. ,Significant problems with the dish, potentially unappetizing. ,Disastrous meal, ingredients wasted.",,"Each failure reduces the effectiveness of your meal by -1d4 and soils the meal 1 day earlier. A critical failure forces the creature eating it to make a Fortitude roll, DS 10 + 1 for each rarity above common. On a fail the creature loses 1 AP as they violently throw up.",Each degree of success grants the creature who consumes the item Overheal or Overenergy equal to Archetype Proficiency.
13,Craft,"Create or repair a variety of things using a variety of tools, sets, or kits, specific to the base crafting skill(s) you currently have. Your base skill determines what these things are, but the craft sub skill allows you to improvise with the tools to create something different or not as intended.","Acuity, Agility, Charisma, Intelligence, Strength, Vitality",,"PS: The item is barely functional or crude. S: The item is serviceable but unremarkable. ,The item is well-crafted and durable. ,The item is expertly made with slight enhancements. ,The item is of masterful quality, featuring superior design and durability.","Item flawed, minor issues., Item completely unusable. ,Noticeable imperfections. ,Significant flaws. ,Disastrous creation, materials wasted.",,,
